Date,Close_Price
30-May-17,2696
31-May-17,2696
1-Jun-17,2717
2-Jun-17,2666
5-Jun-17,2674
6-Jun-17,2701
7-Jun-17,2745
8-Jun-17,2754
9-Jun-17,2700
12-Jun-17,2733
13-Jun-17,2744
14-Jun-17,2780
15-Jun-17,2766
16-Jun-17,2766
19-Jun-17,2795
20-Jun-17,2798
22-Jun-17,2807
22-Jun-17,2807
23-Jun-17,2830
23-Jun-17,2830
27-Jun-17,2849
27-Jun-17,2849
28-Jun-17,2844
28-Jun-17,2844
29-Jun-17,2822
29-Jun-17,2822
30-Jun-17,2854
30-Jun-17,2854
3-Jul-17,2916
3-Jul-17,2916
4-Jul-17,2958
4-Jul-17,2958
5-Jul-17,2939
5-Jul-17,2939
6-Jul-17,2950
6-Jul-17,2950
7-Jul-17,2947
7-Jul-17,2947
10-Jul-17,3003
10-Jul-17,3003
11-Jul-17,2927
11-Jul-17,2927
12-Jul-17,2939
12-Jul-17,2939
13-Jul-17,2900
13-Jul-17,2900
14-Jul-17,2900
14-Jul-17,2900
17-Jul-17,2897
17-Jul-17,2897
18-Jul-17,2903
18-Jul-17,2903
19-Jul-17,2910
19-Jul-17,2910
20-Jul-17,2926
20-Jul-17,2926
21-Jul-17,3012
24-Jul-17,2992
25-Jul-17,3024
26-Jul-17,3028
27-Jul-17,3042
28-Jul-17,3058
31-Jul-17,3026
1-Aug-17,3013
2-Aug-17,3004
3-Aug-17,2960
4-Aug-17,2943
7-Aug-17,2976
8-Aug-17,2966
9-Aug-17,2947
10-Aug-17,2960
11-Aug-17,2965
14-Aug-17,2991
16-Aug-17,3007
17-Aug-17,3051
18-Aug-17,3076
15-Sep-17,3104
18-Sep-17,3089
19-Sep-17,3095
20-Sep-17,3125
21-Sep-17,3099
22-Sep-17,3133
25-Sep-17,3054
26-Sep-17,3029
27-Sep-17,3030
28-Sep-17,3003
29-Sep-17,2985
3-Oct-17,2940
4-Oct-17,2932
5-Oct-17,2921
6-Oct-17,2910
9-Oct-17,2849
10-Oct-17,2848
11-Oct-17,2873
12-Oct-17,2896
13-Oct-17,2919
24-Oct-17,2872
25-Oct-17,2852
26-Oct-17,2848
27-Oct-17,2814
30-Oct-17,2788
31-Oct-17,2773
1-Nov-17,2806
2-Nov-17,2874
3-Nov-17,2843
6-Nov-17,2785
7-Nov-17,2810
8-Nov-17,2847
9-Nov-17,2825
10-Nov-17,2805
13-Nov-17,2819
14-Nov-17,2804
15-Nov-17,2790
16-Nov-17,2810
17-Nov-17,2810
20-Nov-17,2830
23-Nov-17,3013
24-Nov-17,2999
27-Nov-17,3014
28-Nov-17,2992
29-Nov-17,2977
30-Nov-17,3034
1-Dec-17,3030
4-Dec-17,3074
5-Dec-17,3055
6-Dec-17,3097
7-Dec-17,3082
8-Dec-17,3063
11-Dec-17,3027
12-Dec-17,3007
13-Dec-17,3009
14-Dec-17,2996
15-Dec-17,3004
18-Dec-17,3029
19-Dec-17,3047
20-Dec-17,3075
26-Dec-17,3086
27-Dec-17,3101
28-Dec-17,3101
29-Dec-17,3064
1-Jan-18,3072
2-Jan-18,3078
3-Jan-18,3097
4-Jan-18,3129
5-Jan-18,3162
8-Jan-18,3215
9-Jan-18,3204
10-Jan-18,3246
11-Jan-18,3232
12-Jan-18,3213
14-Jan-18,3213
15-Jan-18,3300
16-Jan-18,3303
17-Jan-18,3331
18-Jan-18,3341
19-Jan-18,3360
22-Jan-18,3499
23-Jan-18,3537
24-Jan-18,3547
25-Jan-18,3665
29-Jan-18,3811
30-Jan-18,3713
31-Jan-18,3685
1-Feb-18,3642
2-Feb-18,3626
5-Feb-18,3518
6-Feb-18,3525
7-Feb-18,3643
8-Feb-18,3661
9-Feb-18,3750
12-Feb-18,3812
14-Feb-18,3744
15-Feb-18,3732
16-Feb-18,3807
19-Feb-18,3752
20-Feb-18,3789
20-Feb-18,3806
21-Feb-18,3763
22-Feb-18,3762
23-Feb-18,3668
26-Feb-18,3734
27-Feb-18,3723
28-Feb-18,3802
1-Mar-18,3781
5-Mar-18,3815
6-Mar-18,3856
7-Mar-18,3829
8-Mar-18,3802
9-Mar-18,3785
12-Mar-18,3706
13-Mar-18,3781
14-Mar-18,3782
15-Mar-18,3781
16-Mar-18,3772
19-Mar-18,3725
20-Mar-18,3721
22-Mar-18,3758
23-Mar-18,3684
26-Mar-18,3748
27-Mar-18,3727
28-Mar-18,3756
2-Apr-18,3879
3-Apr-18,3851
4-Apr-18,3770
5-Apr-18,3822
6-Apr-18,3804
9-Apr-18,3805
10-Apr-18,3765
11-Apr-18,3823
12-Apr-18,3806
13-Apr-18,3806
16-Apr-18,3792
17-Apr-18,3741
18-Apr-18,3703
19-Apr-18,3688
20-Apr-18,3710
20-Apr-18,3760
23-Apr-18,3689
24-Apr-18,3653
25-Apr-18,3692
26-Apr-18,3722
27-Apr-18,3622
30-Apr-18,3669
2-May-18,3667
3-May-18,3648
4-May-18,3657
7-May-18,3662
8-May-18,3656
9-May-18,3697
10-May-18,3723
11-May-18,3706
14-May-18,3685
15-May-18,3713
16-May-18,3730
17-May-18,3710
18-May-18,3713
24-May-18,3766
25-May-18,3738
28-May-18,3640
29-May-18,3620
30-May-18,3571
31-May-18,3549
1-Jun-18,3570
4-Jun-18,3508
5-Jun-18,3528
6-Jun-18,3499
7-Jun-18,3500
8-Jun-18,3474
11-Jun-18,3336
12-Jun-18,3326
13-Jun-18,3325
14-Jun-18,3365
15-Jun-18,3419
18-Jun-18,3419
19-Jun-18,3388
20-Jun-18,3399
25-Jun-18,3406
26-Jun-18,3435
27-Jun-18,3496
28-Jun-18,3514
29-Jun-18,3566
2-Jul-18,3624
3-Jul-18,3579
4-Jul-18,3528
5-Jul-18,3549
6-Jul-18,3527
9-Jul-18,3552
10-Jul-18,3513
11-Jul-18,3546
12-Jul-18,3602
13-Jul-18,3537
16-Jul-18,3517
17-Jul-18,3533
18-Jul-18,3533
19-Jul-18,3540
20-Jul-18,3610
17-Sep-18,3232
18-Sep-18,3292
19-Sep-18,3297
21-Sep-18,3358
24-Sep-18,3303
25-Sep-18,3294
26-Sep-18,3308
27-Sep-18,3260
28-Sep-18,3249
1-Oct-18,3167
3-Oct-18,3215
4-Oct-18,3258
5-Oct-18,3240
8-Oct-18,3207
9-Oct-18,3208
10-Oct-18,3204
11-Oct-18,3203
12-Oct-18,3234
15-Oct-18,3281
16-Oct-18,3274
23-Oct-18,3245
24-Oct-18,3263
25-Oct-18,3296
26-Oct-18,3270
29-Oct-18,3316
30-Oct-18,0
31-Oct-18,3320
1-Nov-18,3363
2-Nov-18,3380
5-Nov-18,3425
6-Nov-18,3400
7-Nov-18,3373
9-Nov-18,3331
12-Nov-18,3376
13-Nov-18,3371
14-Nov-18,3352
15-Nov-18,3380
16-Nov-18,3363
19-Nov-18,3391
20-Nov-18,3374
22-Nov-18,3423
26-Nov-18,3363
27-Nov-18,3366
28-Nov-18,3399
29-Nov-18,3355
30-Nov-18,3354
3-Dec-18,3337
4-Dec-18,3315
5-Dec-18,3306
6-Dec-18,3272
7-Dec-18,3277
10-Dec-18,3307
11-Dec-18,3308
12-Dec-18,3369
13-Dec-18,3373
14-Dec-18,3372
17-Dec-18,3359
18-Dec-18,3361
19-Dec-18,3367
20-Dec-18,3367
1-Jan-19,3484
2-Jan-19,3511
3-Jan-19,3494
4-Jan-19,3487
7-Jan-19,3511
8-Jan-19,3587
9-Jan-19,3621
10-Jan-19,3614
11-Jan-19,3625
14-Jan-19,3709
15-Jan-19,3698
16-Jan-19,3667
17-Jan-19,3753
18-Jan-19,3806
21-Jan-19,3809
22-Jan-19,3865
23-Jan-19,3796
25-Jan-19,3854
28-Jan-19,3896
29-Jan-19,3826
30-Jan-19,3858
31-Jan-19,3826
1-Feb-19,3792
4-Feb-19,3828
5-Feb-19,3814
6-Feb-19,3753
7-Feb-19,3757
8-Feb-19,3744
11-Feb-19,3702
12-Feb-19,3719
13-Feb-19,3734
14-Feb-19,3748
15-Feb-19,3726
18-Feb-19,3733
19-Feb-19,3796
20-Feb-19,3784
21-Feb-19,3741
22-Feb-19,3730
25-Feb-19,3707
26-Feb-19,3688
27-Feb-19,3637
28-Feb-19,3614
1-Mar-19,3701
5-Mar-19,3735
6-Mar-19,3763
7-Mar-19,3715
8-Mar-19,3704
11-Mar-19,3686
12-Mar-19,3657
13-Mar-19,3696
14-Mar-19,3667
15-Mar-19,3633
18-Mar-19,3648
19-Mar-19,3676
20-Mar-19,3713
22-Mar-19,3707
25-Mar-19,3699
26-Mar-19,3662
27-Mar-19,3681
28-Mar-19,3657
29-Mar-19,3681
1-Apr-19,3825
2-Apr-19,3827
3-Apr-19,3837
4-Apr-19,3833
5-Apr-19,3853
8-Apr-19,3823
9-Apr-19,3785
10-Apr-19,3776
11-Apr-19,3763
12-Apr-19,3778
15-Apr-19,3755
16-Apr-19,3745
18-Apr-19,3700
22-Apr-19,3713
23-Apr-19,3728
24-Apr-19,3725
25-Apr-19,3727
26-Apr-19,3700
30-Apr-19,3676
2-May-19,3673
3-May-19,3658
6-May-19,3681
7-May-19,3698
8-May-19,3729
9-May-19,3735
10-May-19,3721
13-May-19,3731
14-May-19,3771
15-May-19,3793
16-May-19,3769
17-May-19,3715
20-May-19,3696
21-May-19,3712
22-May-19,3706
23-May-19,3721
24-May-19,3736
27-May-19,3724
28-May-19,3699
29-May-19,3716
30-May-19,3703
31-May-19,3698
3-Jun-19,3656
4-Jun-19,3649
6-Jun-19,3679
7-Jun-19,3668
10-Jun-19,3636
11-Jun-19,3640
12-Jun-19,3664
13-Jun-19,3694
14-Jun-19,3704
17-Jun-19,3650
18-Jun-19,3642
19-Jun-19,3596
20-Jun-19,3631
21-Jun-19,3611
24-Jun-19,3605
25-Jun-19,3637
26-Jun-19,3680
27-Jun-19,3682
28-Jun-19,3674
1-Jul-19,3693
2-Jul-19,3651
3-Jul-19,3669
4-Jul-19,3653
5-Jul-19,3632
8-Jul-19,3575
9-Jul-19,3582
10-Jul-19,3580
11-Jul-19,3598
12-Jul-19,3660
15-Jul-19,3646
16-Jul-19,3636
17-Jul-19,3640
18-Jul-19,3616
19-Jul-19,3585
22-Jul-19,3580
23-Jul-19,3610
24-Jul-19,3590
25-Jul-19,3618
26-Jul-19,3616
29-Jul-19,3588
30-Jul-19,3576
31-Jul-19,3595
1-Aug-19,3583
2-Aug-19,3575
5-Aug-19,3540
6-Aug-19,3539
7-Aug-19,3591
8-Aug-19,3593
9-Aug-19,3652
13-Aug-19,3650
14-Aug-19,3672
16-Aug-19,3639
19-Aug-19,3667
20-Aug-19,3637
21-Aug-19,3659
22-Aug-19,3672
23-Aug-19,3683
26-Aug-19,3793
27-Aug-19,3818
28-Aug-19,3789
29-Aug-19,3750
30-Aug-19,3825
3-Sep-19,3587
4-Sep-19,3582
5-Sep-19,3581
6-Sep-19,3531
9-Sep-19,3573
11-Sep-19,3691
12-Sep-19,3710
13-Sep-19,3700
16-Sep-19,3736
17-Sep-19,3705
18-Sep-19,3714
19-Sep-19,3770
20-Sep-19,3791
23-Sep-19,3845
24-Sep-19,3890
25-Sep-19,4010
26-Sep-19,4022
27-Sep-19,3971
30-Sep-19,3912
1-Oct-19,3733
3-Oct-19,3649
4-Oct-19,3687
7-Oct-19,3687
9-Oct-19,3643
10-Oct-19,3649
11-Oct-19,3660
14-Oct-19,3628
15-Oct-19,3657
16-Oct-19,3718
17-Oct-19,3752
18-Oct-19,3737
22-Oct-19,3717
23-Oct-19,3740
24-Oct-19,3784
25-Oct-19,3780
27-Oct-19,3792
29-Oct-19,3764
30-Oct-19,3791
31-Oct-19,3863
1-Nov-19,3903
4-Nov-19,4059
5-Nov-19,3983
6-Nov-19,3961
7-Nov-19,4042
8-Nov-19,4017
11-Nov-19,3972
13-Nov-19,3993
14-Nov-19,3980
15-Nov-19,3968
18-Nov-19,3944
19-Nov-19,3989
20-Nov-19,3995
21-Nov-19,3981
22-Nov-19,4014
25-Nov-19,4050
26-Nov-19,4042
27-Nov-19,4029
28-Nov-19,4060
29-Nov-19,4072
2-Dec-19,4138
3-Dec-19,4134
4-Dec-19,4136
5-Dec-19,4130
6-Dec-19,4148
9-Dec-19,4184
10-Dec-19,4188
11-Dec-19,4198
12-Dec-19,4266
13-Dec-19,4208
16-Dec-19,4242
17-Dec-19,4296
18-Dec-19,4294
19-Dec-19,4344
20-Dec-19,4338
23-Dec-19,4408
24-Dec-19,4426
26-Dec-19,4454
27-Dec-19,4416
30-Dec-19,4464
31-Dec-19,4436
01-Jan-20,4456
02-Jan-20,4388
03-Jan-20,4358
